reference,asset,beta,eg_pvalue,adf_pvalue,kss_stat,observations,score
ProctorGamble,Russell2000,0.06067365798780225,0.0029049859221904045,0.004176062986024261,-5.656657412976916,9671,0.5727467902059062
CocaCola,Russell2000,0.026385298508861045,0.00026554552353820325,6.60974260206256e-05,-5.73312876942006,9671,0.5736445198915647
HomeDepot,NextEraEnergy,4.3726397727084585,0.00011366113296299864,1.6933807232715414e-05,-5.737465695268071,11180,0.5738771644670029
VIX,Caterpillar,0.08899021419950023,2.0623792968006493e-09,0.07420099654942007,-5.011935349318475,9087,0.5753945335436469
Apple,JPMorgan,0.8800788005253689,0.0759508111096697,0.032803218864817456,-4.724784481083037,11375,0.5812324780827909
NASDAQ,JohnsonJohnson,87.29186146274364,0.08473370656930507,0.04089692888095853,-4.690802411444433,13863,0.5947108765947069
Amazon,NextEraEnergy,2.2200582322447726,0.04073023010017242,0.06440848763686241,-4.91924021075182,7223,0.5970627388122168
HomeDepot,Microsoft,0.94980188621627,0.014103525310125833,0.004481347832862077,-5.786274292972833,10049,0.5972123024402712
Corn,Soybeans,0.41255599840969476,0.007952280258405924,0.002807845254767083,-5.879712777294902,6343,0.5987314032426632
Russell2000,ProctorGamble,15.826060053222815,0.003454369031091798,0.001689215749247864,-5.962736461570177,9671,0.6014172309373574
VIX,BrentCrude,0.2294249875521072,0.0002055250029362506,6.990447955614168e-05,-6.032795377183491,4602,0.6035549672008415
Soybeans,Corn,2.3761464376223507,0.00685526047529624,0.0023661836145283566,-5.944967591873062,6343,0.6037182032771308
Disney,Boeing,0.48944778539144146,0.0053438881360326805,0.0007102343281882982,-6.026925603992941,16128,0.6087466828635151
JohnsonJohnson,NASDAQ,0.01067803058895028,0.042980499900685656,0.015064573430609332,-5.510923687167262,13863,0.6091374420480211
Chevron,NASDAQ,0.008947932978201937,0.06689118471860048,0.02921577897921963,-5.1332191903303945,13863,0.6094288827308596
ProctorGamble,CocaCola,2.2896842228218612,0.021607780981783332,0.004109146587903643,-5.855659157208394,16128,0.6112828432905264
VIX,Palladium,0.015273981394265434,2.527647916211539e-05,0.004555530940233541,-6.198512331341448,6412,0.6244320405535405
NextEraEnergy,HomeDepot,0.22237695878915006,0.00015321402983697776,1.476524148961553e-05,-6.255335172306127,11180,0.6257014965019393
SP500,CocaCola,79.41079580753505,0.00453096964090678,0.00045666883123875564,-6.273574988195708,16128,0.6323451372917164
VIX,JPMorgan,0.15200039620206213,2.148470318034587e-09,0.02214486551611435,-6.102427345317139,9087,0.6323876021962985
Disney,ProctorGamble,0.9391734892325305,0.029156610609345497,0.008274503930077158,-5.995088782486993,16128,0.636939992788122
Wheat,Platinum,0.47778551274890746,0.0840309530568995,0.08434390496983679,-4.7143009782092715,5700,0.6398049558476635
Chevron,SP500,0.02707063419195939,0.025745027482114373,0.005978863539392732,-6.132640810713887,16128,0.6449879720928957
CocaCola,ProctorGamble,0.426956693015933,0.03829707245290357,0.004560669712824895,-6.083739805206872,16128,0.6512317226864157
SP500,JohnsonJohnson,30.009866367716793,0.010810242674773348,0.0017052622729228147,-6.413454851732596,16128,0.6538609901209558
VIX,Copper,5.699582195687008,6.370449709158741e-07,0.00011737334042284396,-6.659000804320218,6374,0.6660180908174156
VIX,NVIDIA,0.16182070174611568,1.9918886993777675e-07,0.00011454427263017082,-6.671915839352165,6798,0.6673063273967166
Microsoft,Apple,1.9194301119902455,4.3964067967738505e-08,9.996570585221072e-09,-6.825942600898738,10049,0.6825943140505123
VIX,AmericanTower,0.12887472542186934,1.2269462351405253e-07,0.016675785484454947,-6.665951749760352,7025,0.6832710831551138
VIX,NASDAQ,0.001861278131798102,2.158020177295514e-09,0.014214965851473003,-6.776021276767003,9087,0.6918170956861935
Disney,Palladium,0.07139128908906756,0.046335857664280646,0.008006164984766286,-6.4229434164187795,6412,0.6966363642909249
JohnsonJohnson,SP500,0.03201421182955879,0.00860089670121176,0.002821692517552518,-6.887744673588865,16128,0.7001970565776507
LindeGroup,HomeDepot,1.1106284233755133,0.09860168859409135,0.021175413565393052,-5.808739540836881,8465,0.7006510562431726
VIX,NaturalGas,3.6020309371138084,7.30296970657103e-07,1.4778172394406504e-05,-7.051191832369306,6377,0.7051346917062956
BrentCrude,Wheat,0.12640943221306797,0.022022958621138535,0.0014948098179393566,-6.8442962248079855,4603,0.7079473909198765
Corn,Wheat,0.7660963465870995,0.0018924133636975791,0.0003426654121755681,-7.058620143845393,6374,0.7080970931604125
Wheat,Corn,1.267217010476188,0.0002716575426548786,0.0002362364487942573,-7.104721045753732,6374,0.7109799985668224
VIX,Amazon,0.13749482853553802,5.0633394520940126e-08,0.02068701133922063,-6.9735678257375024,7223,0.7180438445463654
VIX,Microsoft,0.07124713799127601,2.0568634709185206e-09,0.005091435904155092,-7.134691484426944,9087,0.7185605864037129
CocaCola,SP500,0.012277962535387606,0.0016708863845211854,0.0002657507217566827,-7.207141203444849,16128,0.7226507574507628
SP500,Chevron,34.670071181593066,0.0660481608156866,0.008065972194363587,-6.496307780676577,16128,0.723744911077708
Wheat,HangSeng,0.025576534444201274,0.07129130191513887,0.006582061125795434,-6.480021392356273,6111,0.7258755022765615
VIX,SP500,0.006356722008099011,2.2193766860480617e-09,0.00983172177776558,-7.163433989980743,9087,0.7261751229952166
CocaCola,DowJones,0.0015416321119407805,0.0016012783040871268,0.0002803867866046295,-7.267660128117499,8581,0.7286476779024417
VIX,LindeGroup,0.0755298608195551,9.844859378082114e-09,0.014522570270067618,-7.263708992215675,8465,0.7408934793364945
Palladium,Disney,12.642566697784407,0.04438853038309347,0.008807209601854455,-6.8833277979242675,6412,0.7415285197773747
VIX,CrudeOilWTI,0.26010510873988973,7.80571690399278e-07,1.824801976506376e-05,-7.41854992131161,6382,0.7418740207226164
Wheat,BrentCrude,7.510711883216154,0.0019143517768242368,0.0010942921272214965,-7.395106066871142,4603,0.74251925059116
VIX,Apple,0.12677313989623934,2.03684319542957e-09,7.816268062397348e-05,-7.4287908606879505,9087,0.7429572507862622
Soybeans,Wheat,1.8419436161048872,0.002119881052114835,9.994670615955503e-05,-7.447745188399134,6358,0.7469943465981878
DowJones,CocaCola,640.1686903598644,0.0019999298396316057,0.0002596042617290936,-7.466608656986348,8581,0.7489203997999955
VIX,Corn,0.04198813942030112,5.983434028874367e-07,6.589626256754326e-06,-7.5025846782196,6383,0.7502656557916196
Wheat,Soybeans,0.5290195170073471,0.0005791959895401729,8.991609769633396e-05,-7.511667235155689,6358,0.7518358356028054
VIX,HomeDepot,0.0827163118268871,2.073615956104292e-09,0.0002163205842527871,-7.520676713970053,9087,0.752283994054874
NextEraEnergy,JohnsonJohnson,0.39254280684741283,0.05429669433255597,0.026516612691674914,-6.729716689639226,13349,0.7537849759881535
VIX,CocaCola,0.5271811487587504,2.087754585144849e-09,0.007690221732706656,-7.492134140564254,9087,0.7569036378768866
VIX,Boeing,0.0981863402935183,2.2989835117829233e-09,3.640029851723686e-05,-7.577291733308548,9087,0.7577655759283555
VIX,UnitedHealth,0.05752615873242123,1.996815034099001e-09,0.0034100450597699407,-7.563265793396323,9087,0.7597366263962173
VIX,Soybeans,0.017632592869196585,7.70171081960954e-07,4.926565640880498e-06,-7.6121851840221355,6375,0.7612242151389363
VIX,DowJones,0.0008147005362224344,9.316025555247657e-09,0.006684176174869995,-7.632119619694422,8581,0.7698961474603377
VIX,DAX,0.0016854755439879205,1.5441125803344483e-08,0.00019206684062647692,-7.810849083132324,8903,0.7812769905949847
Apple,Microsoft,0.5116136500501658,8.679425725572963e-08,4.185864021587009e-08,-7.853775280792498,10049,0.7853776567321473
VIX,Nikkei225,0.0008407282019495353,2.186122316740013e-09,1.3873305467506071e-05,-7.878156505288402,8564,0.78782952602043
VIX,NextEraEnergy,0.3870661202472606,2.0430303797756795e-09,0.010319481719120971,-7.792179141079099,9087,0.7895373978700612
VIX,Wheat,0.03346772518497701,5.058193414792004e-07,8.555273032242716e-07,-7.91996565514555,6395,0.7919979268611997
VIX,Disney,0.20778723697117465,2.2641868504932177e-09,5.383384984848452e-05,-7.954260187655549,9087,0.7954798548795903
VIX,JohnsonJohnson,0.18717224054631126,2.0573702376867887e-09,0.01695423176502595,-7.839022646868741,9087,0.8008564985092702
VIX,ProctorGamble,0.21358563122841046,2.0446580292726973e-09,0.00029142125288585883,-8.01593308227643,9087,0.8018847315251868
CocaCola,Chevron,0.43727014988875273,1.5194686948178897e-05,1.549710033844751e-06,-8.094469864244747,16128,0.8094637308214567
